product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
无人机服务连锁,硬件,平台：其他,坐标：乌鲁木齐市,官网：不详,成立时间：2017-09-01,"不详,500万,人民币,需要融资",约谈,运营状态：未上线,消费电子无人机影视农业直播大数据,本项目将以无人机大数据为依托，以无人机服务为主业，快速成长为国内首家无人机专业服务连锁集团。现阶段主要以无人机专业应用服务为主，形成无人机服务连锁业态，未来逐渐拓展通航等领域。农业植保国土测绘电力巡线石油管道巡线影视拍摄新闻直播边境勘察,飞翔的蜗牛,,http://newseed.pedaily.cn/upload/project/logo/201706/15153717867.jpg,http://www.newseed.cn/project/58359,N/A,
龙客,生活消费,"平台：硬件,其他",坐标：厦门市,官网：www.inghan.com,成立时间：2010-07-26,"不详,350万,人民币,需要融资",约谈,运营状态：未上线,大数据人工智能互联网餐饮,项目详情：“龙客”是一个能让消费者一天24小时想吃什么就吃什么，同时还能关注个人饮食健康的无人餐厅。餐厅满足用餐者全方面的需求，如：跨地区/跨国聚餐的虚拟聚聚，发售特制版餐厅商品，实现免洗菜刷锅洗碗的自助厨房。项目优势：我公司，厦门硬悍实业专注餐饮自动化设备14年，见证了回转各业态的成与败，蓄势十年的“龙客”梦想，愿创中式无人快餐领导品牌，并成为消费者时刻关注的饮食健康管理专家。盈利模式：首先，整店装备输出，菜品食材输出是核心，辅以开发的特制的发售商品；其次，品牌价值的使用管理等费用；然后，就是龙客平台流量数据。,龙客,陈兴经理,http://www.newseed.cn/upload2/project/logo/201707/20140313592.jpg,http://www.newseed.cn/project/58963,N/A,
移动互联网+印刷,企业服务,"平台：其他,移动应用",坐标：广州市,官网：无,成立时间：201-41-25,"不详,200万,人民币,需要融资",约谈,运营状态：未上线,移动互联网,2、产品思路C端下单——木网推单——B端抢单——C端收单3、产品的创新①．为C端“商家”。木网收集各城市网格化优质B端（优质广告印刷公司）资源为C端商家选择最优质的印刷、设计、制作服务。②．为B端“供应商”。解决没有生意，生意难做、员成本高等问题。4、产品竞争优势①．降低成本、提升效率。C端商家在平台推送订单，收单后选择性价比最高者合作。②．借助木网、带来生意。规整传统广告印制作刷公司为B端，提供B端需要的客户资源、解决生意难做问题，提升营业额，生意找上门。③．资源共享、无竞对。木网平台的搭建，会助力于传统商家，为他们带来生意，可理解为没有竞争对手。④．C端下单、木网推单、B端抢单、C端收单。,吴海锋,颜正CEO,http://www.newseed.cn/upload2/project/logo/201708/05140436515.jpg,http://www.newseed.cn/project/60262,N/A,
泛娱乐网红孵化之超级IP,文化娱乐,平台：其他,坐标：韶关市,官网：www.yihutv.com,成立时间：2017-11-22,"不详,500万,人民币,需要融资",约谈,运营状态：不详,移动互联网大数据电子商务,韶关市艺虎文化传媒有限公司，简称艺虎传媒（YiHu-media）成立于2014年8月，是一家以娱乐、电子商务、自媒体三大核心业务为主的新型企业；是一家由90后为主力军，年轻有战斗力的公司；是一家迅速壮大的民营企业，领跑国内网红孵化市场的经纪公司。其中艺虎娱乐为中国年轻消费群体提供偶像艺人、优质模特、秀场主播、网络红人、影视唱片等娱乐内容及产品。致力于网络文化产品的开发，实现了在艺人发掘、培养、包装到经纪服务的方案创新。,艺虎传媒,,http://www.newseed.cn/upload2/project/logo/201711/22101134074.jpg,http://www.newseed.cn/project/61815,N/A,
呆呆薯,传统行业,平台：其他,坐标：重庆市,官网：www.dianping.com/shop/66299634,成立时间：2015-10-26,"不详,150万,人民币,需要融资",约谈,运营状态：不详,互联网餐饮,通过烤制和烹煮做成特色小吃，店面现有4个，目前市面上没有相似产品，店面位于重庆4个核心商圈内，每个店面月营业额8万左右，有自己的仓库和自己研发的无烟烤制设备。,陈先生110,,http://www.newseed.cn/upload2/project/logo/201710/26123337970.jpg,http://www.newseed.cn/project/61433,N/A,
品牌服饰下沉乡镇F2C平台,生活消费,平台：WEB,坐标：长沙市,官网：www.yunzhongbang.com,成立时间：2013-01-08,"不详,1000万,人民币,需要融资",约谈,运营状态：正在运营,移动互联网互联网美业/服装,"湖南中邦联电子商务有限公司简称“云中邦”，成立于2013年，隶属于湖南中邦控股旗下子公司，是一家以互联网技术为核心的电子商务运营商，是中国F2C服饰平台。公司主导以互联网+工厂+线下体验馆的全渠道运营，联合国内知名品牌服饰工厂，真正实现工厂到消费者,全程管家式服务打造新零售模式。“云中邦”是向个人提供移动电子商务零售服务的轻创业平台，是整合上游服饰工厂，帮助工厂打通网上销售渠道，使产品直接进入消费市场，减少中间费用和成本；整合下游创业者，帮助其快速获得品牌服饰的区域代理权，以高质低价的商品，为企业锁定忠实用户，使用户通过社交，分享，线下体验，来完成高品质的购物需求。",新芽网友796502,苏翔财务总监陈晓荣董事长,http://www.newseed.cn/upload2/project/logo/201709/08093347071.jpg,http://www.newseed.cn/project/60879,N/A,
“宝宝享”共享玩具,生活消费,"平台：其他,移动应用",坐标：北京市,官网：www.babygx.com,成立时间：2017-11-09,"不详,1000万,人民币,需要融资",约谈,运营状态：不详,移动互联网兴趣教育儿童早教,"共享经济,大行其道——“宝宝享”的出现，填补了共享玩具的空白。宝宝享，是一款科学专业的高端儿童玩具共享服务平台，为您的孩子提供从婴儿成长到儿童的不同阶段的益智玩具。",宝宝享-儿童用品共享平台,,http://www.newseed.cn/upload2/project/logo/201711/09170404170.jpg,http://www.newseed.cn/project/61627,N/A,
桌面级袖珍贴片机器人,硬件,平台：硬件,坐标：成都市,官网：不详,成立时间：2015-05-30,"不详,300万,人民币,需要融资",约谈,运营状态：不详,人工智能芯片消费电子机器人,四川六度众和科技有限公司（以下简称：六度科技）成立于2015年5月，是一家从事计算机软件应用、智能硬件、物联网产品设计、研发、销售为一体的综合化高新企业。公司在2016年先后获得了基于VR硬件设备的知识产权2项。同年研发基于SoC架构下的片上图像处理系统，并在2017年完成了基于机器人视觉领域的实验应用，与国内多家机器人生产厂家展开技术性合作。在2017年9月将基于SoC的图形图像技术应用在电子产品生产过程中，自主设计研发了桌面级袖珍贴片机器人满足小型电子产品加工企业生产需求，既解决降低成本的目的同时又不降低生产能力，是小型电子加工企业不可多得的重量级产品！,Wekin,,http://www.newseed.cn/upload2/project/logo/201711/06123304343.jpg,http://www.newseed.cn/project/61589,N/A,
有菜,生活消费,平台：移动应用,坐标：北京市,官网：不详,成立时间：2015-08-15,"不详,金额未透露,融资完成",立即认领,运营状态：正在运营,健康保健,,,,http://pic2.pedaily.cn/newseed/project/201607/20160711091650602.jpg,http://www.newseed.cn/project/52084,北京爱乐守一网络科技有限公司,爱乐守一旗下“有菜”，它面向C端用户，是专注于为消费者提供以优质蔬菜为主的生活服务平台，致力成为中国安全健康食材第一品牌。“有菜”于2015年8月15日开始正式运作，并计划在2016年覆盖北京优质农产品的居民消费市场，2017年开通上海、广州、深圳、天津等市场进而推广至全国。目前“有菜”团队有18人。
Pusher,信息技术,平台：WEB,坐标：伦敦,官网：pusher.com,成立时间：不详,"不详,250万,美元,融资完成",立即认领,运营状态：正在运营,,Pusher主打的产品就是保障网站的信息更加实时，曾帮助《纽约时报》快速处理选举数据。Pusher能够提供更具有效性的信息，比如网页更新的数据或者推送的通知等。,,,http://pic2.pedaily.cn/newseed/project/201609/20160901141644945.jpg,http://www.newseed.cn/project/53643,Pusher,Pusher主打的产品就是保障网站的信息更加实时，曾帮助《纽约时报》快速处理选举数据。Pusher能够提供更具有效性的信息，比如网页更新的数据或者推送的通知等。
